prompting_configuration,category,model,n,vmf1_saved,vmf1_strict_reexecuted,vmf1_tolerant,vmf1_delta_tolerant_minus_strict,vmf1_exact1_saved,vmf1_exact1_strict,vmf1_exact1_tolerant,rmem_strict_correct,rmem_relaxed_only_correct,rmem_tolerant_correct,rmem_still_incorrect,rmem_strict_accuracy,rmem_tolerant_accuracy,rmem_absolute_difference,rmem_relative_difference,execution_failures,vmf1_1_but_rmem_0
Baseline,aggregate,gemma2:9b,38,0.0,0.0,0.0,0.0,0,0,0,0,0,0,38,0.0,0.0,0.0,,5,0
Baseline,aggregate,llama3.2:3b,38,0.0,0.0,0.0,0.0,0,0,0,0,0,0,38,0.0,0.0,0.0,,30,0
Baseline,aggregate,qwen2.5-coder:32b,38,0.0,0.0,0.0,0.0,0,0,0,0,0,0,38,0.0,0.0,0.0,,5,0
Baseline,aggregate,qwen2.5:72b,38,0.0,0.0,0.0,0.0,0,0,0,0,0,0,38,0.0,0.0,0.0,,1,0
Baseline,comparative,gemma2:9b,22,0.0,0.0,0.0,0.0,0,0,0,0,0,0,22,0.0,0.0,0.0,,1,0
Baseline,comparative,llama3.2:3b,22,0.0,0.0,0.0,0.0,0,0,0,0,0,0,22,0.0,0.0,0.0,,14,0
Baseline,comparative,qwen2.5-coder:32b,22,0.0,0.0,0.0,0.0,0,0,0,0,0,0,22,0.0,0.0,0.0,,5,0
Baseline,comparative,qwen2.5:72b,22,0.0,0.0,0.0,0.0,0,0,0,0,0,0,22,0.0,0.0,0.0,,0,0
Baseline,health_risk,gemma2:9b,30,0.0,0.0,0.0,0.0,0,0,0,0,0,0,30,0.0,0.0,0.0,,19,0
Baseline,health_risk,llama3.2:3b,30,0.0,0.0,0.0,0.0,0,0,0,0,0,0,30,0.0,0.0,0.0,,18,0
Baseline,health_risk,qwen2.5-coder:32b,30,0.0,0.0,0.0,0.0,0,0,0,0,0,0,30,0.0,0.0,0.0,,19,0
Baseline,health_risk,qwen2.5:72b,30,0.0,0.0,0.0,0.0,0,0,0,0,0,0,30,0.0,0.0,0.0,,1,0
Baseline,station_filtering,gemma2:9b,30,0.0,0.0,0.0,0.0,0,0,0,0,0,0,30,0.0,0.0,0.0,,7,0
Baseline,station_filtering,llama3.2:3b,30,0.0,0.0,0.0,0.0,0,0,0,0,0,0,30,0.0,0.0,0.0,,19,0
Baseline,station_filtering,qwen2.5-coder:32b,30,0.0,0.0,0.0,0.0,0,0,0,0,0,0,30,0.0,0.0,0.0,,1,0
