retrieval_k,category,n_questions,CV,ES,EM,VM_F1_strict,VM_F1_strict_n,VM_F1_tolerant,VM_F1_tolerant_n,RMEM_strict,RMEM_strict_correct,RMEM_strict_n,RMEM_tolerant,RMEM_tolerant_correct,RMEM_tolerant_n,median_generation_latency_s,mean_generation_latency_s,n_execution_failure,n_no_generation
1,ALL,150,0.8333,0.7333,0.0,0.556,150,0.556,150,0.2,30,150,0.2,30,150,13.797,14.475,40,0
3,ALL,150,0.96,0.8867,0.0,0.6546,150,0.6546,150,0.3067,46,150,0.3067,46,150,13.096,13.796,17,0
5,ALL,150,0.9933,0.9267,0.0,0.6379,150,0.6379,150,0.2,30,150,0.2,30,150,13.514,14.212,11,0
1,aggregate,38,1.0,1.0,0.0,0.7184,38,0.7184,38,0.0,0,38,0.0,0,38,10.604,10.738,0,0
3,aggregate,38,1.0,1.0,0.0,0.7043,38,0.7043,38,0.0,0,38,0.0,0,38,10.736,11.09,0,0
5,aggregate,38,1.0,1.0,0.0,0.6973,38,0.6973,38,0.0,0,38,0.0,0,38,10.796,11.149,0,0
1,comparative,22,0.5455,0.0455,0.0,0.0,22,0.0,22,0.0,0,22,0.0,0,22,22.471,23.095,21,0
3,comparative,22,0.9091,0.5909,0.0,0.5545,22,0.5545,22,0.4091,9,22,0.4091,9,22,17.798,18.064,9,0
5,comparative,22,0.9545,0.7273,0.0,0.5,22,0.5,22,0.1364,3,22,0.1364,3,22,19.178,19.1,6,0
1,health_risk,30,1.0,1.0,0.0,0.9444,30,0.9444,30,0.9,27,30,0.9,27,30,16.834,15.245,0,0
3,health_risk,30,1.0,1.0,0.0,0.8,30,0.8,30,0.8,24,30,0.8,24,30,15.215,14.489,0,0
5,health_risk,30,1.0,1.0,0.0,0.7333,30,0.7333,30,0.7333,22,30,0.7333,22,30,15.738,15.679,0,0
1,station_filtering,30,0.6,0.6,0.0,0.2987,30,0.2987,30,0.0333,1,30,0.0333,1,30,14.71,14.01,12,0
3,station_filtering,30,0.8667,0.8667,0.0,0.4008,30,0.4008,30,0.0333,1,30,0.0333,1,30,14.005,14.654,4,0
5,station_filtering,30,1.0,0.9667,0.0,0.4931,30,0.4931,30,0.0667,2,30,0.0667,2,30,15.186,14.831,1,0
1,temporal,30,0.9,0.7667,0.0,0.6267,30,0.6267,30,0.0667,2,30,0.0667,2,30,12.704,12.583,7,0
3,temporal,30,1.0,0.8667,0.0,0.7733,30,0.7733,30,0.4,12,30,0.4,12,30,10.532,12.541,4,0
5,temporal,30,1.0,0.8667,0.0,0.7133,30,0.7133,30,0.1,3,30,0.1,3,30,10.924,12.42,4,0
