query_id,category,historical_prompt_sha256,new_k3_prompt_sha256,historical_len,new_k3_len,retrieved_exemplar_ids,byte_identical,first_diff_offset
q043,aggregate,ce4af1a717c90ade1e509ce9845bedffd2f7ca0ec9f51b2e48f70087a70006ad,ce4af1a717c90ade1e509ce9845bedffd2f7ca0ec9f51b2e48f70087a70006ad,7249,7249,JP05|JP14|JP02,1,-1
q056,aggregate,fe39062092c27db891c0c61cac2763d00fae509df7c52f879e50940cf46b32f6,fe39062092c27db891c0c61cac2763d00fae509df7c52f879e50940cf46b32f6,7187,7187,JP02|JP14|JP04,1,-1
q073,aggregate,ebad5077e4c6dd93afbcdf8a83b2af69a64422fb96d94d12ef40ff1175293c75,ebad5077e4c6dd93afbcdf8a83b2af69a64422fb96d94d12ef40ff1175293c75,7248,7248,JP02|JP14|JP05,1,-1
q172,comparative,5350fc281e7394b9165c3f0a2d1e87f66415b843e3af5a0b66f41eabf085e67d,5350fc281e7394b9165c3f0a2d1e87f66415b843e3af5a0b66f41eabf085e67d,7670,7670,JP06|JP28|JP11,1,-1
q179,comparative,39b08d286089a39793c2ce0f153abddab85273cf78b98160be59fdc08993b8fb,39b08d286089a39793c2ce0f153abddab85273cf78b98160be59fdc08993b8fb,7451,7451,JP06|JP27|JP05,1,-1
q189,comparative,a72e65d49b38be4093f25fac9bfdc311f4260c2a0132db43fea86497e5e7d0ef,a72e65d49b38be4093f25fac9bfdc311f4260c2a0132db43fea86497e5e7d0ef,7447,7447,JP05|JP06|JP27,1,-1
q131,health_risk,b4b1b00655d8728dc8d829adbef0cfa5cc7d4068657520c3df6129abe7bb587f,b4b1b00655d8728dc8d829adbef0cfa5cc7d4068657520c3df6129abe7bb587f,7489,7489,JP19|JP01|JP07,1,-1
q145,health_risk,80aa6085b341712df38002e065b4ac47683c8082e80d36e1c3e7c36204684591,80aa6085b341712df38002e065b4ac47683c8082e80d36e1c3e7c36204684591,7441,7441,JP16|JP21|JP01,1,-1
q158,health_risk,aa8c2895c814521a80d7b38f135bcdaf0b75aa63a1758149d0e27ad476579319,aa8c2895c814521a80d7b38f135bcdaf0b75aa63a1758149d0e27ad476579319,7408,7408,JP21|JP16|JP02,1,-1
q001,station_filtering,00c415e33d8e1157e0e3f32aa7f20f2949b7902849d3446bc44401295410ed5c,00c415e33d8e1157e0e3f32aa7f20f2949b7902849d3446bc44401295410ed5c,7380,7380,JP28|JP06|JP05,1,-1
q016,station_filtering,a24c704dd6b4491ab1e0c4697bed780ed4ef809c690bb93cabb0a1a8717e18c3,a24c704dd6b4491ab1e0c4697bed780ed4ef809c690bb93cabb0a1a8717e18c3,7296,7296,JP01|JP04|JP05,1,-1
q028,station_filtering,2b9323ed53b9d43c4c0b90dc3e3c0de57c8841cef3993d09b4b8f76120cbbda2,2b9323ed53b9d43c4c0b90dc3e3c0de57c8841cef3993d09b4b8f76120cbbda2,7666,7666,JP28|JP07|JP13,1,-1
q092,temporal,8fb1513c783d312583bfd655d6a3df7326185927554496450fb23c5a455e2a79,8fb1513c783d312583bfd655d6a3df7326185927554496450fb23c5a455e2a79,7189,7189,JP04|JP02|JP14,1,-1
q105,temporal,4cee8125b476fd90dfd950b9f56133f33d55aa58d94a771de3fc8ea05e4dcdb9,4cee8125b476fd90dfd950b9f56133f33d55aa58d94a771de3fc8ea05e4dcdb9,7191,7191,JP04|JP14|JP02,1,-1
q118,temporal,55d80525f459dbf5ff49dcd7e676c3cb2da68827aeae254e18559a9d4503be3a,55d80525f459dbf5ff49dcd7e676c3cb2da68827aeae254e18559a9d4503be3a,7187,7187,JP04|JP02|JP14,1,-1
