scope,prompting_configuration,model,category,N,CV,ES,EM,SE,SE_binary_rate,RQ,gen_time_ms_median,gen_time_ms_mean
category_x_config,Baseline,POOLED(4 LLM),Aggregate,152,0.0,0.7303,0.0,0.0,0.0,0.352,6002.0,7025.0
category_x_config,Baseline,POOLED(4 LLM),Comparative,88,0.0114,0.7727,0.0,0.0,0.0,0.1364,7086.6,8363.2
category_x_config,Baseline,POOLED(4 LLM),Health Risk,120,0.0,0.525,0.0,0.0,0.0,0.1875,6002.4,7686.3
category_x_config,Baseline,POOLED(4 LLM),Station Filtering,120,0.0417,0.7667,0.0,0.0,0.0,0.0167,6723.2,13673.2
category_x_config,Baseline,POOLED(4 LLM),Temporal,120,0.0,0.475,0.0,0.0,0.0,0.0292,8592.0,11076.9
category_x_config,Schema Baseline,POOLED(4 LLM),Aggregate,152,0.7105,0.7105,0.0,0.0,0.0,0.3651,8794.3,8326.7
category_x_config,Schema Baseline,POOLED(4 LLM),Comparative,88,0.4773,0.3864,0.0,0.0,0.0,0.0511,8220.4,8739.2
category_x_config,Schema Baseline,POOLED(4 LLM),Health Risk,120,0.65,0.4417,0.0,0.0,0.0,0.1833,6729.6,9522.1
category_x_config,Schema Baseline,POOLED(4 LLM),Station Filtering,120,0.5583,0.5583,0.0,0.0,0.0,0.0208,7754.8,10557.1
category_x_config,Schema Baseline,POOLED(4 LLM),Temporal,120,0.3667,0.3583,0.0,0.0052,0.0,0.0375,9214.8,8865.3
category_x_config,Schema+Values,POOLED(4 LLM),Aggregate,152,0.7632,0.6711,0.0,0.0347,0.0,0.3651,9812.0,11171.7
category_x_config,Schema+Values,POOLED(4 LLM),Comparative,88,0.5455,0.4886,0.0,0.1156,0.0795,0.233,11594.6,10637.2
category_x_config,Schema+Values,POOLED(4 LLM),Health Risk,120,0.8917,0.3583,0.0,0.0083,0.0,0.2167,10098.5,14213.9
category_x_config,Schema+Values,POOLED(4 LLM),Station Filtering,120,0.875,0.7333,0.0,0.1846,0.1,0.1833,10606.6,13376.6
category_x_config,Schema+Values,POOLED(4 LLM),Temporal,120,0.4583,0.175,0.0,0.03,0.0167,0.0375,10987.2,13922.4
category_x_config,DKB-NoExamples,POOLED(4 LLM),Aggregate,152,0.9079,0.7697,0.0,0.25,0.0,0.3816,7731.7,8900.5
category_x_config,DKB-NoExamples,POOLED(4 LLM),Comparative,88,0.7841,0.75,0.0,0.2232,0.0682,0.2955,14295.1,17342.9
category_x_config,DKB-NoExamples,POOLED(4 LLM),Health Risk,120,0.8,0.7167,0.0,0.0778,0.0,0.3583,10162.8,14418.8
category_x_config,DKB-NoExamples,POOLED(4 LLM),Station Filtering,120,0.95,0.9,0.0,0.2246,0.0333,0.2917,11674.7,14417.7
category_x_config,DKB-NoExamples,POOLED(4 LLM),Temporal,120,0.525,0.3417,0.0,0.2917,0.2917,0.1833,11028.9,12292.1
category_x_config,DKB,POOLED(4 LLM),Aggregate,152,0.9605,0.9474,0.0,0.5265,0.0,0.7434,9389.8,9449.4
category_x_config,DKB,POOLED(4 LLM),Comparative,88,0.3977,0.3523,0.0,0.2318,0.1591,0.267,11079.5,11690.2
category_x_config,DKB,POOLED(4 LLM),Health Risk,120,0.8083,0.7917,0.0,0.2633,0.0917,0.3958,8151.6,9840.4
category_x_config,DKB,POOLED(4 LLM),Station Filtering,120,0.6417,0.5,0.0,0.2386,0.0917,0.4375,9450.7,11753.0
category_x_config,DKB,POOLED(4 LLM),Temporal,120,0.825,0.6,0.0,0.3024,0.0833,0.45,9350.1,9502.6
category_x_config,DKB+Hybrid,POOLED(4 LLM),Aggregate,152,0.9342,0.9276,0.0,0.5795,0.0132,0.8816,8229.1,8378.4
category_x_config,DKB+Hybrid,POOLED(4 LLM),Comparative,88,0.4205,0.3068,0.0,0.2379,0.1705,0.267,9788.7,10703.5
category_x_config,DKB+Hybrid,POOLED(4 LLM),Health Risk,120,0.925,0.8917,0.0,0.4167,0.4167,0.725,7726.7,8049.4
category_x_config,DKB+Hybrid,POOLED(4 LLM),Station Filtering,120,0.7667,0.6917,0.0,0.3373,0.1,0.5792,8427.9,10864.3
category_x_config,DKB+Hybrid,POOLED(4 LLM),Temporal,120,0.9167,0.6417,0.0,0.4181,0.1,0.5667,9306.7,8724.8
category_x_config,FT Text2Cypher,POOLED(4 LLM),Aggregate,38,0.8684,0.8421,0.0,0.0,0.0,0.3684,13210.4,16426.7
category_x_config,FT Text2Cypher,POOLED(4 LLM),Comparative,22,0.3182,0.1818,0.0,0.0,0.0,0.0,29523.8,26584.2
category_x_config,FT Text2Cypher,POOLED(4 LLM),Health Risk,30,0.4333,0.4333,0.0,0.0,0.0,0.2167,21005.8,23822.2
category_x_config,FT Text2Cypher,POOLED(4 LLM),Station Filtering,30,0.9667,0.9667,0.0,0.0,0.0,0.0167,15201.6,15036.6
category_x_config,FT Text2Cypher,POOLED(4 LLM),Temporal,30,0.3333,0.3,0.0,0.0,0.0,0.0,16997.9,20712.0
