prompting_configuration,category,n,vmf1_saved,vmf1_strict_reexecuted,vmf1_tolerant,vmf1_delta_tolerant_minus_strict,vmf1_exact1_saved,vmf1_exact1_strict,vmf1_exact1_tolerant,rmem_strict_correct,rmem_relaxed_only_correct,rmem_tolerant_correct,rmem_still_incorrect,rmem_strict_accuracy,rmem_tolerant_accuracy,rmem_absolute_difference,rmem_relative_difference,execution_failures,vmf1_1_but_rmem_0
Baseline,aggregate,152,0.0,0.0,0.0,0.0,0,0,0,0,0,0,152,0.0,0.0,0.0,,41,0
Baseline,comparative,88,0.0,0.0,0.0,0.0,0,0,0,0,0,0,88,0.0,0.0,0.0,,20,0
Baseline,health_risk,120,0.0,0.0,0.0,0.0,0,0,0,0,0,0,120,0.0,0.0,0.0,,57,0
Baseline,station_filtering,120,0.0,0.0,0.0,0.0,0,0,0,0,0,0,120,0.0,0.0,0.0,,28,0
Baseline,temporal,120,0.0,0.0,0.0,0.0,0,0,0,0,0,0,120,0.0,0.0,0.0,,63,0
DKB,aggregate,152,0.5265,0.5265,0.5397,0.0132,0,0,0,0,0,0,152,0.0,0.0,0.0,,8,0
DKB,comparative,88,0.2318,0.2318,0.2318,0.0,14,14,14,14,0,14,74,0.1591,0.1591,0.0,0.0,54,0
DKB,health_risk,120,0.2633,0.2633,0.2733,0.01,11,11,11,11,0,11,109,0.0917,0.0917,0.0,0.0,25,0
DKB,station_filtering,120,0.2386,0.2754,0.2754,0.0,11,11,11,11,0,11,109,0.0917,0.0917,0.0,0.0,48,0
DKB,temporal,120,0.3024,0.3024,0.3405,0.0381,10,10,10,10,0,10,110,0.0833,0.0833,0.0,0.0,48,0
DKB+Hybrid,aggregate,152,0.5795,0.5795,0.5822,0.0027,2,2,2,2,0,2,150,0.0132,0.0132,0.0,0.0,11,0
DKB+Hybrid,comparative,88,0.2379,0.2379,0.2379,0.0,15,15,15,15,0,15,73,0.1705,0.1705,0.0,0.0,61,0
DKB+Hybrid,health_risk,120,0.4167,0.4167,0.4167,0.0,50,50,50,50,0,50,70,0.4167,0.4167,0.0,0.0,13,0
DKB+Hybrid,station_filtering,120,0.3373,0.3509,0.3509,0.0,12,12,12,12,0,12,108,0.1,0.1,0.0,0.0,32,0
DKB+Hybrid,temporal,120,0.4181,0.4181,0.4503,0.0322,12,12,13,12,1,13,107,0.1,0.1083,0.0083,0.0833,43,0
DKB-NoExamples,aggregate,152,0.25,0.25,0.352,0.102,0,0,0,0,0,0,152,0.0,0.0,0.0,,35,0
DKB-NoExamples,comparative,88,0.2232,0.2232,0.2458,0.0226,6,6,6,6,0,6,82,0.0682,0.0682,0.0,0.0,22,0
DKB-NoExamples,health_risk,120,0.0778,0.0778,0.0844,0.0066,0,0,0,0,0,0,120,0.0,0.0,0.0,,34,0
DKB-NoExamples,station_filtering,120,0.2246,0.2246,0.2246,0.0,4,4,4,4,0,4,116,0.0333,0.0333,0.0,0.0,12,0
DKB-NoExamples,temporal,120,0.2917,0.2917,0.2917,0.0,35,35,35,35,0,35,85,0.2917,0.2917,0.0,0.0,79,0
Schema Baseline,aggregate,152,0.0,0.0,0.0493,0.0493,0,0,0,0,0,0,152,0.0,0.0,0.0,,45,0
Schema Baseline,comparative,88,0.0,0.0,0.0,0.0,0,0,0,0,0,0,88,0.0,0.0,0.0,,54,0
Schema Baseline,health_risk,120,0.0,0.0,0.0,0.0,0,0,0,0,0,0,120,0.0,0.0,0.0,,66,0
Schema Baseline,station_filtering,120,0.0,0.0,0.0,0.0,0,0,0,0,0,0,120,0.0,0.0,0.0,,53,0
Schema Baseline,temporal,120,0.0052,0.0052,0.0083,0.0031,0,0,1,0,1,1,119,0.0,0.0083,0.0083,,77,0
Schema+Values,aggregate,152,0.0347,0.0347,0.0347,0.0,0,0,0,0,0,0,152,0.0,0.0,0.0,,50,0
Schema+Values,comparative,88,0.1156,0.1156,0.1423,0.0267,7,7,12,7,5,12,76,0.0795,0.1364,0.0568,0.7143,45,0
Schema+Values,health_risk,120,0.0083,0.0083,0.0083,0.0,0,0,0,0,0,0,120,0.0,0.0,0.0,,77,0
Schema+Values,station_filtering,120,0.1846,0.1806,0.1806,0.0,12,12,12,12,0,12,108,0.1,0.1,0.0,0.0,33,0
Schema+Values,temporal,120,0.03,0.03,0.03,0.0,2,2,2,2,0,2,118,0.0167,0.0167,0.0,0.0,99,0
Text2Cypher-FT,aggregate,38,0.0,0.0,0.0,0.0,0,0,0,0,0,0,38,0.0,0.0,0.0,,6,0
Text2Cypher-FT,comparative,22,0.0,0.0,0.0,0.0,0,0,0,0,0,0,22,0.0,0.0,0.0,,18,0
Text2Cypher-FT,health_risk,30,0.0,0.0,0.0,0.0,0,0,0,0,0,0,30,0.0,0.0,0.0,,17,0
Text2Cypher-FT,station_filtering,30,0.0,0.0,0.0,0.0,0,0,0,0,0,0,30,0.0,0.0,0.0,,1,0
Text2Cypher-FT,temporal,30,0.0,0.0,0.0,0.0,0,0,0,0,0,0,30,0.0,0.0,0.0,,21,0
