prompting_configuration,model,n,vmf1_saved,vmf1_strict_reexecuted,vmf1_tolerant,vmf1_delta_tolerant_minus_strict,vmf1_exact1_saved,vmf1_exact1_strict,vmf1_exact1_tolerant,rmem_strict_correct,rmem_relaxed_only_correct,rmem_tolerant_correct,rmem_still_incorrect,rmem_strict_accuracy,rmem_tolerant_accuracy,rmem_absolute_difference,rmem_relative_difference,execution_failures,vmf1_1_but_rmem_0
Baseline,gemma2:9b,150,0.0,0.0,0.0,0.0,0,0,0,0,0,0,150,0.0,0.0,0.0,,62,0
Baseline,llama3.2:3b,150,0.0,0.0,0.0,0.0,0,0,0,0,0,0,150,0.0,0.0,0.0,,104,0
Baseline,qwen2.5-coder:32b,150,0.0,0.0,0.0,0.0,0,0,0,0,0,0,150,0.0,0.0,0.0,,34,0
Baseline,qwen2.5:72b,150,0.0,0.0,0.0,0.0,0,0,0,0,0,0,150,0.0,0.0,0.0,,9,0
DKB,gemma2:9b,150,0.2437,0.2437,0.2822,0.0385,4,4,4,4,0,4,146,0.0267,0.0267,0.0,0.0,82,0
DKB,llama3.2:3b,150,0.0147,0.0147,0.028,0.0133,1,1,1,1,0,1,149,0.0067,0.0067,0.0,0.0,56,0
DKB,qwen2.5-coder:32b,150,0.4621,0.4915,0.4915,0.0,26,26,26,26,0,26,124,0.1733,0.1733,0.0,0.0,35,0
DKB,qwen2.5:72b,150,0.5925,0.5925,0.5925,0.0,15,15,15,15,0,15,135,0.1,0.1,0.0,0.0,10,0
DKB+Hybrid,gemma2:9b,150,0.2785,0.2785,0.3043,0.0258,14,14,15,14,1,15,135,0.0933,0.1,0.0067,0.0714,57,0
DKB+Hybrid,llama3.2:3b,150,0.1257,0.1257,0.1284,0.0027,3,3,3,3,0,3,147,0.02,0.02,0.0,0.0,68,0
DKB+Hybrid,qwen2.5-coder:32b,150,0.6467,0.6576,0.6576,0.0,46,46,46,46,0,46,104,0.3067,0.3067,0.0,0.0,17,0
DKB+Hybrid,qwen2.5:72b,150,0.6136,0.6136,0.6136,0.0,28,28,28,28,0,28,122,0.1867,0.1867,0.0,0.0,18,0
DKB-NoExamples,gemma2:9b,150,0.0611,0.0611,0.171,0.1099,1,1,1,1,0,1,149,0.0067,0.0067,0.0,0.0,67,0
DKB-NoExamples,llama3.2:3b,150,0.0266,0.0266,0.0386,0.012,1,1,1,1,0,1,149,0.0067,0.0067,0.0,0.0,79,0
DKB-NoExamples,qwen2.5-coder:32b,150,0.4953,0.4953,0.4953,0.0,24,24,24,24,0,24,126,0.16,0.16,0.0,0.0,13,0
DKB-NoExamples,qwen2.5:72b,150,0.2765,0.2765,0.2765,0.0,19,19,19,19,0,19,131,0.1267,0.1267,0.0,0.0,23,0
Schema Baseline,gemma2:9b,150,0.0,0.0,0.0,0.0,0,0,0,0,0,0,150,0.0,0.0,0.0,,120,0
Schema Baseline,llama3.2:3b,150,0.0,0.0,0.0,0.0,0,0,0,0,0,0,150,0.0,0.0,0.0,,81,0
Schema Baseline,qwen2.5-coder:32b,150,0.0042,0.0042,0.0567,0.0525,0,0,1,0,1,1,149,0.0,0.0067,0.0067,,58,0
Schema Baseline,qwen2.5:72b,150,0.0,0.0,0.0,0.0,0,0,0,0,0,0,150,0.0,0.0,0.0,,36,0
Schema+Values,gemma2:9b,150,0.0716,0.0716,0.0873,0.0157,3,3,8,3,5,8,142,0.02,0.0533,0.0333,1.6667,92,0
Schema+Values,llama3.2:3b,150,0.0171,0.0171,0.0171,0.0,1,1,1,1,0,1,149,0.0067,0.0067,0.0,0.0,91,0
Schema+Values,qwen2.5-coder:32b,150,0.0939,0.0907,0.0907,0.0,8,8,8,8,0,8,142,0.0533,0.0533,0.0,0.0,68,0
Schema+Values,qwen2.5:72b,150,0.0987,0.0987,0.0987,0.0,9,9,9,9,0,9,141,0.06,0.06,0.0,0.0,53,0
Text2Cypher-FT,text2cypher-gemma2-9b,150,0.0,0.0,0.0,0.0,0,0,0,0,0,0,150,0.0,0.0,0.0,,63,0
