prompting_configuration,model,n,VMF1_strict_saved,VMF1_strict_reexecuted,VMF1_relaxed_reference,VMF1_tolerant,delta_tolerant_minus_strict,strict_best,relaxed_only_improvement,unchanged,execution_failure
Baseline,gemma2:9b,150,0.0,0.0,0.0,0.0,0.0,0,0,88,62
Baseline,llama3.2:3b,150,0.0,0.0,0.0,0.0,0.0,0,0,46,104
Baseline,qwen2.5-coder:32b,150,0.0,0.0,0.0,0.0,0.0,0,0,116,34
Baseline,qwen2.5:72b,150,0.0,0.0,0.0,0.0,0.0,0,0,141,9
DKB,gemma2:9b,150,0.2437,0.2437,0.2713,0.2822,0.0385,37,14,17,82
DKB,llama3.2:3b,150,0.0147,0.0147,0.0253,0.028,0.0133,1,3,90,56
DKB,qwen2.5-coder:32b,150,0.4621,0.4915,0.4448,0.4915,0.0,66,0,49,35
DKB,qwen2.5:72b,150,0.5925,0.5925,0.4557,0.5925,0.0,93,0,47,10
DKB+Hybrid,gemma2:9b,150,0.2785,0.2785,0.2996,0.3043,0.0258,32,10,51,57
DKB+Hybrid,llama3.2:3b,150,0.1257,0.1257,0.1257,0.1284,0.0027,18,1,63,68
DKB+Hybrid,qwen2.5-coder:32b,150,0.6467,0.6576,0.4809,0.6576,0.0,91,0,42,17
DKB+Hybrid,qwen2.5:72b,150,0.6136,0.6136,0.4695,0.6136,0.0,85,0,47,18
DKB-NoExamples,gemma2:9b,150,0.0611,0.0611,0.171,0.171,0.1099,0,35,48,67
DKB-NoExamples,llama3.2:3b,150,0.0266,0.0266,0.0386,0.0386,0.012,1,4,66,79
DKB-NoExamples,qwen2.5-coder:32b,150,0.4953,0.4953,0.4024,0.4953,0.0,80,0,57,13
DKB-NoExamples,qwen2.5:72b,150,0.2765,0.2765,0.2185,0.2765,0.0,42,0,85,23
Schema Baseline,gemma2:9b,150,0.0,0.0,0.0,0.0,0.0,0,0,30,120
Schema Baseline,llama3.2:3b,150,0.0,0.0,0.0,0.0,0.0,0,0,69,81
Schema Baseline,qwen2.5-coder:32b,150,0.0042,0.0042,0.0567,0.0567,0.0525,0,16,76,58
Schema Baseline,qwen2.5:72b,150,0.0,0.0,0.0,0.0,0.0,0,0,114,36
Schema+Values,gemma2:9b,150,0.0716,0.0716,0.0873,0.0873,0.0157,0,5,53,92
Schema+Values,llama3.2:3b,150,0.0171,0.0171,0.0171,0.0171,0.0,0,0,59,91
Schema+Values,qwen2.5-coder:32b,150,0.0939,0.0907,0.0801,0.0907,0.0,5,0,77,68
Schema+Values,qwen2.5:72b,150,0.0987,0.0987,0.0897,0.0987,0.0,3,0,94,53
Text2Cypher-FT,text2cypher-gemma2-9b,150,0.0,0.0,0.0,0.0,0.0,0,0,87,63
