comparison,llm,N,p_value,dz,wilcoxon_statistic,n_zero_diff,mean_SE_dkb_hybrid,mean_SE_other,mean_diff
vs. Baseline,llama3.2:3b,150,3.016840889395149e-09,0.4800491139725575,4539.0,116,0.12570933333333334,0.0,0.12570933333333334
vs. Baseline,gemma2:9b,150,7.329135846308903e-17,0.8084197506242331,8085.0,80,0.27848266666666666,0.0,0.27848266666666666
vs. Baseline,qwen2.5-coder:32b,150,2.5762428283406813e-25,1.7808743174473844,10919.0,28,0.6467153333333332,0.0,0.6467153333333332
vs. Baseline,qwen2.5:72b,150,1.5134552899427897e-25,1.7348876220184923,10947.0,27,0.6135520000000001,0.0,0.6135520000000001
vs. Schema Baseline,llama3.2:3b,150,3.016840889395149e-09,0.4800491139725575,4539.0,116,0.12570933333333334,0.0,0.12570933333333334
vs. Schema Baseline,gemma2:9b,150,7.329135846308903e-17,0.8084197506242331,8085.0,80,0.27848266666666666,0.0,0.27848266666666666
vs. Schema Baseline,qwen2.5-coder:32b,150,2.603384401313268e-25,1.7606227163048362,10919.0,28,0.6467153333333332,0.004166666666666667,0.6425486666666665
vs. Schema Baseline,qwen2.5:72b,150,1.5134552899427897e-25,1.7348876220184923,10947.0,27,0.6135520000000001,0.0,0.6135520000000001
vs. DKB,llama3.2:3b,150,2.5470472761421445e-08,0.4256930895052808,4395.5,116,0.12570933333333334,0.014666666666666668,0.11104266666666665
vs. DKB,gemma2:9b,150,0.6469587604688866,0.1053515245793145,3481.5,89,0.27848266666666666,0.243696,0.03478666666666666
vs. DKB,qwen2.5-coder:32b,150,5.391438151806576e-08,0.4161273123163611,7300.0,65,0.6467153333333332,0.4621080000000001,0.18460733333333335
vs. DKB,qwen2.5:72b,150,0.027356719005564713,0.0531983118613954,4806.0,84,0.6135520000000001,0.592482,0.02107
