group,N,min_ms,max_ms,mean_ms,median_ms,std_ms,p25_ms,p75_ms,p90_ms,p95_ms,p99_ms,min_s,max_s,mean_s,median_s,std_s,p25_s,p75_s,p90_s,p95_s,p99_s
gemma2:9b | baseline,150,1948.31,121123.84,7240.467,6231.595,9519.681,5296.51,7070.185,8740.238,10881.068,13249.497,1.948,121.124,7.24,6.232,9.52,5.297,7.07,8.74,10.881,13.249
gemma2:9b | cypherbench_style,150,4357.92,51911.11,8012.823,7145.81,4164.648,6274.663,8518.78,10815.38,11831.307,14458.182,4.358,51.911,8.013,7.146,4.165,6.275,8.519,10.815,11.831,14.458
gemma2:9b | dkb,150,2405.59,12826.26,7766.402,7440.235,1965.687,6478.408,9023.145,10917.543,11286.236,12519.294,2.406,12.826,7.766,7.44,1.966,6.478,9.023,10.918,11.286,12.519
gemma2:9b | dkb_hybrid,150,1766.83,17053.04,7344.915,6868.63,2099.947,6204.465,8198.94,9702.635,10714.221,14459.489,1.767,17.053,7.345,6.869,2.1,6.204,8.199,9.703,10.714,14.459
gemma2:9b | dkb_no_examples,150,3393.04,27641.12,9395.682,9098.75,3514.325,7345.472,11013.07,13420.822,14632.958,22479.025,3.393,27.641,9.396,9.099,3.514,7.345,11.013,13.421,14.633,22.479
gemma2:9b | schema_plus_values,150,4946.51,35464.27,9866.395,9283.235,3441.677,7929.895,11011.22,13553.513,14772.539,20244.304,4.947,35.464,9.866,9.283,3.442,7.93,11.011,13.554,14.773,20.244
llama3.2:3b | baseline,150,1701.43,121124.63,5287.349,4582.785,9632.61,3570.757,5328.265,6362.838,7391.822,10402.157,1.701,121.125,5.287,4.583,9.633,3.571,5.328,6.363,7.392,10.402
llama3.2:3b | cypherbench_style,150,1655.8,28453.57,4999.481,4792.4,2493.851,3994.467,5614.525,6843.229,7405.491,10518.503,1.656,28.454,4.999,4.792,2.494,3.994,5.615,6.843,7.405,10.519
llama3.2:3b | dkb,150,1488.82,12041.24,4843.703,4604.715,2064.909,3492.995,5755.505,7617.871,8780.574,11081.117,1.489,12.041,4.844,4.605,2.065,3.493,5.756,7.618,8.781,11.081
llama3.2:3b | dkb_hybrid,150,956.05,13755.25,5251.02,5223.375,2569.104,3222.8,6710.333,8450.945,10145.795,11475.374,0.956,13.755,5.251,5.223,2.569,3.223,6.71,8.451,10.146,11.475
llama3.2:3b | dkb_no_examples,150,2972.17,16649.98,7474.262,6964.94,2896.316,4927.993,9283.763,11304.102,12821.665,14346.774,2.972,16.65,7.474,6.965,2.896,4.928,9.284,11.304,12.822,14.347
llama3.2:3b | schema_plus_values,150,1493.64,14283.54,6288.064,6245.285,3328.329,2835.137,8994.498,10868.882,12210.319,13354.394,1.494,14.284,6.288,6.245,3.328,2.835,8.994,10.869,12.21,13.354
qwen2.5-coder:32b | baseline,150,5339.88,93239.45,13094.801,12113.315,7083.078,10657.565,14948.905,16380.055,17064.617,17291.795,5.34,93.239,13.095,12.113,7.083,10.658,14.949,16.38,17.065,17.292
qwen2.5-coder:32b | cypherbench_style,150,4841.46,17634.69,12153.635,12571.68,2822.8,10444.897,13863.948,16177.125,16374.37,17620.999,4.841,17.635,12.154,12.572,2.823,10.445,13.864,16.177,16.374,17.621
qwen2.5-coder:32b | dkb,150,6157.61,19940.74,12720.719,12738.67,3909.373,9343.677,15932.228,18494.919,19317.85,19932.431,6.158,19.941,12.721,12.739,3.909,9.344,15.932,18.495,19.318,19.932
qwen2.5-coder:32b | dkb_hybrid,150,5011.16,18719.9,10665.814,10397.815,3022.354,8258.6,12175.78,15004.781,16754.59,18063.79,5.011,18.72,10.666,10.398,3.022,8.259,12.176,15.005,16.755,18.064
qwen2.5-coder:32b | dkb_no_examples,150,4687.36,32163.62,17508.704,17051.975,7102.194,12772.792,22135.217,28672.531,29740.414,31648.88,4.687,32.164,17.509,17.052,7.102,12.773,22.135,28.673,29.74,31.649
qwen2.5-coder:32b | schema_plus_values,150,4974.9,33297.19,17970.204,16992.34,7104.739,12649.855,22687.542,28517.319,31070.872,32467.633,4.975,33.297,17.97,16.992,7.105,12.65,22.688,28.517,31.071,32.468
qwen2.5:72b | baseline,150,2074.39,241112.82,12351.553,6949.86,25197.821,5487.53,9906.603,17653.567,31764.44,117554.266,2.074,241.113,12.352,6.95,25.198,5.488,9.907,17.654,31.764,117.554
qwen2.5:72b | cypherbench_style,150,4175.18,241111.69,11554.361,9420.235,18995.365,9050.202,10696.34,15520.175,17069.375,17434.829,4.175,241.112,11.554,9.42,18.995,9.05,10.696,15.52,17.069,17.435
qwen2.5:72b | dkb,150,9175.56,241114.14,15979.584,15328.925,18714.137,11564.415,16671.71,18277.683,18460.626,20896.561,9.176,241.114,15.98,15.329,18.714,11.564,16.672,18.278,18.461,20.897
qwen2.5:72b | dkb_hybrid,150,6771.29,252522.05,13618.514,11351.69,19788.384,10246.858,14016.198,16855.933,18531.313,19244.445,6.771,252.522,13.619,11.352,19.788,10.247,14.016,16.856,18.531,19.244
qwen2.5:72b | dkb_no_examples,150,5391.37,142156.25,17717.936,16194.59,12717.995,9308.312,22556.145,27815.154,30279.346,40217.84,5.391,142.156,17.718,16.195,12.718,9.308,22.556,27.815,30.279,40.218
